"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"0.1uF_1, 0.1uF_2";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"0.1uF";;;
2;"1Kohm_1";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"1Kohm";;;
3;"1uF_1, 1uF_2";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"1uF";;;
4;"5.1k_1";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"5.1k";;;
5;"5.1K_2";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"5.1K";;;
6;"10Kohm_1, 10Kohm_2";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"10Kohm";;;
7;"10uF_1, 10uF_2";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"10uF";;;
8;"IC1";"SON40P200X200X80-11N";1;"BQ24040DSQR";;;
9;"J1";"USB_C_Receptacle_HRO_TYPE-C-31-M-12";1;"USB_C_Receptacle_USB2.0_16P";;;
10;"SW1, SW2, SW3, SW4, SW5, SW6, SW7, SW8, SW9, SW10, SW11, SW12, SW13, SW14, SW15, SW16";"SW_Cherry_MX_1.00u_PCB";16;"SW_Push";;;
11;"U1";"ESP32-S3-WROOM-1";1;"ESP32-S3-WROOM-1";;;
12;"U2";"SOT-23-5";1;"AP2112K-3.3";;;
